Gene Symbol	CD10	CD31	CD45	EPCAM
CDKN3	2.44	13.41	3.55	25.55
CDR1	39.28	1.3	1.17	1
CDR1-AS	328.63	2.61	1.93	2.42
CENPF	2.14	3.11	4.54	30.01
CEP68	8.53	47.87	13	14.53
CH17-140K24.7	3.23	11	1	3.65
CHN1	189.88	66.27	6.38	3.04
CHSY1	105.18	116.58	17.03	20.26
CKS1B	21.88	17.38	13.67	146.23
CLDN11	7.75	16.55	1.06	1
CLDN4	3.49	1.45	2.63	189.38
CLEC14A	1.29	179.48	1.04	1.03
CLEC1A	1	66.04	1.33	1
CLEC7A	1.06	1.85	21.41	3.13
CLIC2	7.45	47	4.01	4.38
CLIP3	40.9	7.87	1.43	3.62
CMAHP	18.99	90.51	10.35	36.15
CMBL	8.5	6.4	1.19	29.55
CNKSR1	1	2.22	4.45	10.63
CNKSR3	3.37	76.93	1.6	18.89
CNRIP1	38.35	57.05	1.78	1
CNTNAP3	1	19.38	1.45	6.03
CNTNAP3B	1.07	37.78	1.24	3.26
CNTNAP3P2	1	8.97	1	1.89
COL12A1	658.52	22.46	1.21	5.68
COL14A1	64.44	1.63	1.28	2.08
COL16A1	43.7	1.8	1.69	2.06
COL1A1	9325.73	17.82	4.24	19.18
COL1A2	6232.25	26.01	4.26	7.47
COL23A1	2.02	7.13	1.46	1.04
COL3A1	6966.54	25.92	2.19	1.69
COL4A1	165.02	635.63	1.54	7.96
COL4A2	115.99	350.16	2.61	6.78
COL5A1	529.85	6.25	1.3	1.29
COL5A2	305.55	7.9	1.11	1.72
COL6A1	2063.19	33.66	4.8	11.18
COL6A2	464.22	36.54	2.39	1.65
COL6A3	1437.27	19.16	6.77	8.09
COL8A1	299.35	5.94	1.18	4.55
COLEC12	54.74	11.84	3.47	4.17
CPT1C	10.1	14.9	1	1.73
CRIM1	41.3	172.4	5.66	45.79
CRIP2	25.35	172.74	1.75	8.1
CRISPLD2	427.19	4.52	3.22	3.86
CRYBG3	9.21	26.14	3.22	11.9
CSF1R	1.57	1.77	129.06	1.42
CSF2RA	1	1.2	24.4	2.48
CSF2RB	1.62	35.28	24.82	1
CSF3	13.38	64.61	1.19	9.03
CSF3R	1.4	1.1	39.05	13.42
CTA-384D8.34	1.17	1	22.68	12.16
CTD-2396E7.11	1	1	1.79	10.07
CTD-2647L4.4	5.57	26.38	3.62	7.07
CTLA4	1	1.04	37.97	1.52
CTTNBP2NL	42.95	135.01	12.45	30.12
CXADR	1.53	3.57	1.57	64.16
CXCR4	2.89	92.92	479.15	7.89
CXorf36	1	109.44	1	1
CYB5D2	9.74	30.48	2.7	10.35
CYBB	1.25	1.69	86.66	1.37
CYFIP2	9.14	3.33	62.21	23.67
CYGB	39.74	7.96	1	3.03
CYP51A1P3	1.12	4.88	1	1.44
CYSLTR1	2.04	17.99	7.42	3.34
CYTH4	1	1.69	16.97	1.9
CYTIP	1.07	3.92	84.15	1.4
CYTL1	1.25	25.53	1.24	1
CYYR1	1.25	105.67	1.02	1.11
DACH1	1.94	28.31	1.08	1.55
DCHS1	10.12	47.09	1.35	1.04
DCN	2871.44	11.52	2.06	3.91
DDR1	5.24	3.67	2.51	63.49
DDR2	128.06	9.8	1.3	1.44
DEPDC1B	1.84	1.46	2.63	8
DGKH	10.37	33.8	5.66	17.69
DHCR24	6.53	10.11	4.62	132.51
DKK3	250.78	51.89	4.79	5.59
DLC1	34.66	132.72	2.66	21.55
DLGAP5	1	2.22	2.33	22.75
DLL1	5.92	17.41	1.38	3.41
DLL4	1.13	168.39	1.08	4.33
DMKN	9.4	3.92	1.44	39.95
DMTN	1.51	25.85	2.59	17.24
DNAJC18	7.77	17.19	2.62	3.51
DNAJC9	4.65	6.72	4.77	23.65
DNASE1L1	4.73	19.75	4.86	7.65
DNASE1L3	1.09	35.87	1.38	1.32
DNM3	3.63	25.06	1.4	5.39
DOC2B	1.27	18.17	1.1	4.5
DOCK10	10.84	6.85	54.5	1.36
DOCK2	2.75	2.89	53.31	1.07
DOCK4	22.86	92.07	10.91	7.05
DOCK4-AS1	5.16	8.59	1.81	1.69
DOCK6	17.17	71.41	1.77	11.34
DOCK8	1.36	9.37	75.04	4.34
DOCK9	11.18	384.39	8.92	70.37
DOK2	1	1	13.97	1
DOK3	1.73	7.61	29.33	1.42
DSG2	15.99	3.56	2.7	154.06
DSP	11.9	26.55	5.57	362.94
DUSP6	32.85	369.61	30.11	209.39
DYSF	1.51	127.21	9.54	3.45
EBF1	19.51	38.43	1.72	1.36
ECE2	3.83	3.66	1.73	11.18
ECM1	115.37	5.12	1.85	14.32
ECSCR	1	256.11	1.37	1
ECT2	9.64	15.26	3.1	60.24
EDN1	1.72	190.97	2.04	41.13
EDNRB	23.59	77.95	1.53	2.83
EFNB2	11.94	151.66	2.04	7.59
EFS	11.29	1	1	5.91
EHD4	8.64	113.33	7.68	18.86
EHF	1.29	2.38	1.45	72.5
ELF3	10.48	1.75	4.57	478.22
ELK3	66.91	249.22	17.8	31.42
EMCN	1.49	169.3	1.27	1
EMID1	3.08	7.38	1.27	1.79
EMP1	135.52	471.52	13.39	68.69
ENC1	41.54	6.05	5.96	7.18
ENG	80.83	1021.18	27.68	10.55
ENPP2	42.6	634.13	5.96	2.77
EOGT	27.67	88.08	6.83	13.08
EPAS1	231.75	1575.35	17.85	162.56
EPB41L3	12.86	27.04	46.74	2.62
EPB41L4A	3.28	67.73	5.03	5.55
EPHA4	2.39	35.04	5.53	15.83
EPHB4	9.92	74.62	4.18	29.17
EPS8L1	2.72	2.71	2.13	11.23
EPS8L2	2.44	2.41	4.6	12.94
EPT1	10.96	9.72	5.3	44.04
ERBB2	17.62	8.01	2.28	36.76
ERBB3	1.18	2.35	1.79	62.93
ERG	9.46	576.16	1.6	3.45
ERI2	3.14	5.14	2.01	14.66
ESAM	1.1	476.93	1.2	4.33
ESRP1	1.07	2.44	2.35	146.58
ESRP2	1.05	1.4	2.44	32.45
ETS1	82.93	407.01	98.94	5.5
ETS2	65.06	575.16	57.92	129.65
EVA1C	12.54	72.85	2.54	26.63
EXOC3L2	1	26.3	1	1
EXOC6	2.37	53.74	3.66	12.18
F13A1	8.39	1.31	14.46	1
F2RL2	17.94	1.68	2.82	4.54
F2RL3	1	32.13	1	1
F8	2.55	95.57	2.95	4.77
FAM101B	10.82	52.42	3.59	1.93
FAM114A2	5.57	22.73	3.91	5.82
FAM124A	5.71	15.85	1.92	1.83
FAM13C	7.51	17.45	1.03	1.3
FAM171A1	7.3	48.7	1.54	3.67
FAM171B	7.62	18.58	1.36	3.72
FAM43A	9.9	62.32	3.75	7.08
FAM65B	1.44	2.81	22.09	2.32
FAM69B	1	17.65	1.13	9.88
FAR2	1.4	27.56	4.94	2.05
FAT4	20.82	43.97	1.07	2.27
FBLN1	877.27	5.44	1.29	22.07
FBLN2	125.85	19.29	1.05	1.42
FBN1	321.8	75	1.38	1.81
FBXL7	22.01	61.07	1	1.37
FCER1G	4.62	3.01	395.38	1.52
FCGR2C	1.09	4.54	31.65	1.17
FCGR3A	1.4	1.93	75.59	1.27
FCN3	1	464.01	1.1	1
FEN1	5.9	5.23	5.37	23.41
FEZ2	9.48	38.22	5.1	14.48
FGD2	1.09	1.07	19.17	1.13
FGD3	1.14	1.62	12.22	1.75
FGD5	19.59	165.25	3.4	1.28
FGR	1.1	13.6	45.4	1.12
FKBP1A	185.02	1594.32	87.62	201.37
FLI1	14.72	180.93	19.02	1.07
FLNB	23.14	168.61	7.3	84.44
FLNC	9.46	13.48	1.05	1.24
FLT1	1.43	474.38	5.47	2.88
FLT4	1.02	75.52	1.19	1.1
FLVCR1	2.87	6.09	4.44	17.44
FMNL1	10.43	5.66	64.98	4.86
FN1	4055.84	595.23	110.25	20.16
FNDC1	102.04	1.09	1.02	1.04
FOLR2	1	1	10.7	1
FOXC1	4.43	14.2	1.11	1.89
FPR1	1.01	1	25.99	1
FPR3	1.3	1.27	28.16	1
FSTL1	434.14	130.98	1.55	5.53
FTLP14	1	1	1	6.31
FUT1	1.03	20.51	1	5.04
FUT2	1.14	1.22	1.12	10.36
FYB	1.13	1.64	81.27	1.71
FZD4	5.12	84.55	1.13	2.56
GAB3	1.28	6.86	8.82	1.16
GALNT18	1.68	57.81	1	12.33
GAS7	76.98	9.84	8.95	1.64
GCNT2	1.69	14.07	3.15	29.87
GDF15	5.89	3.79	1.2	35.11
GFOD1	3.93	28.03	3.77	3.17
GFOD2	4.04	40.78	2.79	7.23
GIMAP4	1	319.33	60.15	1.05
GIMAP5	1.04	153.92	32.92	1
GIMAP6	1.06	69.39	5.74	1
GIMAP7	1	143.73	16.7	1
GIMAP8	1.01	105.95	2.96	1.14
GIPC2	1.02	8.84	1.03	1
GIPC3	2.34	18.1	1.05	1.02
GJA4	1.72	44.24	1	1
GJC1	5.78	12.24	1.07	2.39
GNA14	2.91	67.65	1.31	8.27
GNAI2	117.65	442.41	141.39	92.42
GNG11	7.34	72.66	1	2.25
GPIHBP1	1	23.07	1	1.03
GPM6A	1.04	27.21	1	2.87
GPR132	1	1.06	14.31	1.3
GPR183	1.72	2.75	108.23	2.13
GPR4	1.01	56.73	1.03	1.02
GPRC5B	9.04	90.27	1.23	9.23
GPRIN3	1.12	7.71	30.32	5.68
GRAP2	1.03	1.13	10.57	1.8
GRASP	15.42	86.24	6.76	1.22
GRB10	6.79	144.46	1.83	15.15
GRB7	1.77	1.13	1.25	19.2
GRHL2	3.44	1.75	2.25	53.84
GRK5	6.89	42.25	3.75	6.46
GRPEL2	6.67	31.47	3.45	15.02
GUCY1A3	83.83	12.86	2.47	8.53
GXYLT2	94.93	1.48	1.07	5.57
HAVCR2	1	1.31	24.33	1.03
HCK	3.77	1.18	22.81	1.63
HCLS1	2.14	16.38	96.42	10.2
HDAC7	18.5	59.56	11.14	9.43
HDGF	64.92	58.79	27.16	188.19
HECW2	3.5	91.66	1.81	3.8
HERC2P2	11.19	129.97	16.68	15.51
HERC2P9	12.8	68.91	10.89	14.55
HES1	21.81	111.6	3.7	46.01
HHEX	1.04	33.46	2.78	3.11
HIST1H2BD	5.83	12.09	15.51	41.1
HK2	22.96	6.65	20.5	69.59
HLX	10.19	21.37	3.48	1
HMGN2P15	1	5.7	1	1
HMHA1	1.15	2.75	15.11	1.95
HMMR	1.77	2.09	3.39	11.79
HN1	14.46	17.15	19.9	112.93
HRH1	10.95	29.84	1.35	6.99
HSD11B1	64.53	1.62	2.24	1
HSPA12B	2.06	24.23	1	1
HSPD1	146.2	160.5	120.78	683.62
HSPG2	83.51	553.05	3.34	29.57
HTRA3	184.12	2.92	1	1.68
HYAL1	1.49	27.21	1	5.55
HYAL2	12.4	501.93	3.19	31.7
ICA1	1.32	44.8	3	24.28
ICAM2	3.31	182.4	19.2	5.96
ICAM3	1.8	8.07	28	4.99
ID3	59.63	97.42	5.99	10.45
IFI30	56.07	33.16	663.81	80.96
IGFBP7	620.81	1776.01	2.88	42.74
IGHM	1.2	109.12	1230.51	1.15
IL10RA	1.9	2.44	82.3	3.33
IL18BP	32.89	122.67	35.3	13.01
IL1B	3.73	3.21	228.64	27.57
IL2RG	1	19.49	147.03	2.06
IL33	10.79	142.17	1.17	10.35
IL3RA	1.13	94.6	10.56	1
ILF2	97.92	153.17	39.12	310.23
INADL	6.09	5.82	11.98	66.56
INHBB	1.48	59.96	1	2.54
INSR	10.55	173.38	5.03	22.79
IPO11	11.55	44.57	5.66	20.8
IQCA1	2.67	9.97	1.03	3.54
IQCJ-SCHIP1	7.43	34.34	1	7.18
ISLR	392.85	1.98	1	1.31
ITGA11	103.86	2.34	1.02	1.02
ITGA5	91.66	323.98	21.48	19.58
ITGA9	7.14	49.85	3.49	11.29
ITGAL	1	1.44	85.21	1.12
ITGAM	1.34	2.75	41.23	2.03
ITGAX	1.09	1.32	77.13	1
ITGB2	4.19	1.45	84.82	3.87
ITGB7	1.15	1.86	30.24	2.23
ITM2A	2.53	199.1	26.27	1.3
ITPRIP	71.26	168.02	17.82	8.93
JAG2	1.46	40.17	2.06	21.53
JAM2	25.55	189.94	1.58	1.19
JAM3	38.45	58.1	2.75	2.25
JPH1	1.42	1.07	1.02	5.59
KALRN	15.92	54.39	1.21	3.04
KANK2	88.5	21.89	1.99	10.01
KCNAB2	1.78	5.17	23.44	2.33
KCNJ2	5.57	62.41	3.44	23.42
KCNJ2-AS1	1	8.26	1	3.19
KCNN2	1.17	12.33	1	1.42
KCNN3	1.74	26.02	11.18	1.8
KCNS3	8.1	3.02	1	22.91
KDF1	1	1	1.13	7.62
KDR	1.19	234.34	1.03	10.34
KIAA0226L	4.8	1.2	8.2	1
KIAA0355	19.02	101.79	5.56	11.69
KIAA1211L	1	14.17	1.11	5.01
KIAA1462	25.26	89.59	1.51	2.09
KIAA1958	4.3	2.86	2.81	13.08
KIF18A	1.12	1.31	2.16	9.32
KIF21B	1.81	3.47	10.08	1.84
KIF26B	62.01	2.34	1.09	8.75
KIF4A	1.94	2.19	2.03	19.21
KIRREL	100.61	10.51	1.37	15.93
KLHL12	4.03	8.16	5.65	27.44
KLHL3	4.17	36.11	2.66	2.84
KLHL4	1.75	8.16	1	1.04
KNSTRN	2.65	4.07	2.92	16.46
KRT8	9.41	15.14	3.37	241.17
KRTCAP3	1.05	1.15	1	38.37
LAIR1	1.5	1.25	28.57	1.1
LAMA2	69.89	2.17	1.47	1.7
LAMA5	3.5	79.24	3.72	25.81
LAMB3	2.73	3.07	4.07	113.46
LAPTM5	2	101.73	427.78	3
LAYN	11.9	38.84	7.69	1.56
LCP1	2.81	3.35	349.31	5.76
LCP2	22.39	114.97	220.38	1.21
LDB2	21.48	492.94	3.1	1.17
LEPR	10.76	73.43	2.22	7.1
LHFP	108.19	151.08	2.05	2.48
LILRB1	1	2.1	15.65	1
LILRB2	1.03	1.1	32.23	1
LILRB3	1.04	1.32	27.71	1.34
LILRB4	1	1.51	33.95	1.01
LIMS2	9.93	150.13	1.33	1.83
LINC00511	10.93	1.84	1.98	39.87
LINC00839	1.87	7.04	1	1
LMO2	1.59	219.84	6.8	7.98
LMOD1	15.5	1.82	1.29	1.51
LPAR1	107.76	3.1	2.97	33.05
LRCH1	17.97	47.3	7.2	9.75
LRP1	236.22	5.14	18.93	30.35
LRRC32	66.78	337.16	2.39	1.29
LRRC49	5.85	10.76	1.18	2.85
LRRC70	1.33	18.23	1.61	1.52
LRRC8C	4.85	50.88	17.5	8.11
LSP1	1.7	2.33	96.03	1.05
LSR	5.06	10.6	3.86	41.55
LST1	1.15	2.32	60.18	1
LTB	1	2.5	22.61	1.89
LTBP2	228.18	10.31	1.92	3.76
LUM	3581.13	14.42	2.05	2.91
LUZP1	31.59	118.81	14.35	34.79
LYVE1	1.63	181.6	1.33	1.19
LYZ	1.85	4.24	579.82	24.33
MAFB	92.31	10.69	20.26	9.05
MAGI1	5	98.99	2.11	16.8
MAL2	2.61	4.79	4.31	305.02
MANSC1	3.08	53.59	1.78	26.52
MAP3K3	12.27	33.11	8.61	6.68
MAP3K6	10.99	43.46	2.38	7.09
MAP4K1	1	2.02	29.02	1.28
MAPK11	2.19	13.8	1.91	1.97
MAPK13	6.49	2.53	7.5	32.68
MAPK3	26.19	141.73	21.51	36.04
1-Mar	1.4	1.88	16.1	2.44
MARVELD2	1.36	22.45	1.83	41.5
MAST4	18.88	107.36	14.85	56.62
MCAM	4.71	194.49	2.74	4.34
MCF2L	1	78.62	2.02	10.03
MCTP1	1.31	166.43	9.91	7.33
MECOM	12.64	87.5	1.6	44.61
MEF2A	30.7	105.55	20.11	34.85
MEF2C	9.96	191.2	30.53	5.29
MELK	2.06	1.93	2.23	20.08
MFAP3	34.81	268.25	11.51	28.21
MFAP4	1298.14	13.11	1.39	1.44
MFNG	1	41.86	9.89	1.88
MGAT4A	1.4	44.23	15.36	7.44
MGP	419.51	1123.09	1.77	6.04
MIAT	1.22	2.52	8.05	1.46
MICALCL	1.92	1.34	1.85	9.59
MIS18A	5	3.92	3.14	15.61
MKL2	26.97	353.15	9.57	65.98
MLKL	8.77	56.45	18.18	8.75
MMP1	809.21	10.15	2.93	12.29
MMP14	384.41	60.29	14.27	38.04
MMP2	1748.62	163.13	3.67	3.76
MMRN1	1.01	137.9	1.3	1.02
MMRN2	1.15	88.25	1.53	1.31
MPDZ	30.19	63.14	1.87	16.48
MPEG1	1.39	1.35	53.7	1.23
MRPL24	15.62	22.2	8.3	46.32
MRPL3	66.64	43.34	13.32	168.98
MS4A6A	1.76	1.73	49.77	1
MSR1	1.18	1.72	76.79	1.9
MTMR9LP	2.23	24.15	1.37	1.5
MUC5B	1.02	1.04	1.35	50.09
MXRA5	489.74	6.06	1.14	17.77
MXRA8	249.85	1.6	1.11	2.42
MYCT1	1.14	161.71	1	1.08
MYL9	178.15	37.58	2.5	11.77
MYLK	256.55	38.05	1.79	10.58
MYO15B	7.68	57.3	12.12	3.59
MYO1F	2.07	3.55	41.27	2.11
MYO1G	1.01	1.55	16.98	2.27
MYO7A	1	1.61	13.26	2
NAALADL1	9.43	20.84	5.15	1.13
NAV2	8.68	10.38	2.69	42.77
NCAM2	17.3	1.46	1	2.37
NCAPG	1.02	2.06	2.19	9.37
NCF4	1	1.71	40.68	1.17
NCKAP1L	1.06	3.16	73.49	1.07
NDUFS6	19.14	18.76	10.48	53.61
NEDD4L	4.83	34.81	6.44	107.83
NEDD9	13.39	236.55	42.47	35.66
NEK2	1.41	1.04	2.4	28.57
NEK3	12.57	40.71	4.07	12.65
NELL2	1.22	1.31	20.93	4.4
NES	9.79	42.87	1.1	2.8
NFAM1	1.6	1.05	9.83	1.08
NFKBID	1.39	8.7	20.65	2.77
NID2	87.37	33.41	2.47	2.09
NIPSNAP1	10.7	10.09	4.43	41.85
NLN	4.81	11.2	3.04	31.51
NLRP3	1.07	1.03	19.61	1.02
NOS3	1	55.66	1.19	4.29
NOSTRIN	1.04	114.21	1.22	4.5
NOTCH4	1.57	102.65	1.18	1.88
NPDC1	3.07	75.37	2.03	6.29
NPR3	2.93	70.21	1.1	3.37
NPTN-IT1	3.36	10.32	1.99	2.81
NR5A2	1	81.33	1.43	1.29
NRN1	1.21	89.96	3.8	9.53
NRP1	71.53	237.63	11.96	29.87
NTM	111.28	4.99	2.67	2.27
OLFML1	112.14	5.97	1.36	1.59
OLFML2A	4.56	30.87	1.3	3.96
OLFML2B	77.62	1.62	6.5	1.37
OLFML3	196.13	2.65	2.75	20.13
OLR1	1.5	2.39	125.56	1.47
P2RY2	1.04	3.56	1.88	13.49
PALD1	1.06	16.13	3.1	1.8
PALMD	7.96	193.55	1.1	7.05
PARVB	6.43	35.37	7.63	4.4
PARVG	1	1.88	21.92	1.01
PCAT19	1	71.94	1.11	1.15
PCBD1	16.36	15.5	11.68	99.81
PCCB	10.15	16.1	5.59	58.3
PCDH1	2.4	145.07	1.63	33.92
PCDHGB7	18.7	37.21	1.19	6.81
PCED1B-AS1	1	3.65	70.34	1.85
PCOLCE	420.01	5.62	1.94	4.27
PDCD2L	3.86	8.96	3.52	38.13
PDE2A	3.07	68	2.27	2.43
PDE7B	4.49	17.36	2.11	1.62
PDGFB	1	63.22	2.63	2.04
PDLIM1	65.98	1401.24	10.87	235.97
PDZRN3	44.97	1.58	1	1.05
PEA15	113.99	279.83	52.12	54.28
PEAR1	3.28	33.23	1.13	1.07
PECAM1	1.67	1317.19	49.21	2.78
PGAM5	2.8	12.54	5.35	21.82
PGM5	3.67	20.67	1.34	1.29
PHACTR2	38.17	117.46	21.71	24.23
PHB	76.64	154.84	29.96	393.99
PIEZO1	32.96	97.62	16.85	21.95
PIK3AP1	1.18	2.16	28.19	2.54
PIK3C2A	22.02	136.96	10.3	40.5
PIK3C2B	1.43	118.85	11.3	13.18
PIK3R3	25.53	317.41	2.45	10.91
PIK3R5	1	2.16	32.41	1.38
PIK3R6	1	1.14	5.64	1
PILRA	1.15	3.2	30.05	1.43
PITPNM2	1.8	22.54	2.71	6
PKN3	1.09	13.56	1.14	2.27
PLA1A	2.66	58.82	1.4	1.09
PLCB1	2.64	68.95	3.71	29.05
PLCB2	1	3.08	29.14	1.64
PLCB4	2.83	26.35	1.12	3.91
PLCG1	14.46	110.44	25.08	15.1
PLEK	1.1	2.48	61.53	1.06
PLEKHG1	13.38	62.95	4.04	11.84
PLEKHG5	1.38	14.39	1.06	7.3
PLEKHO2	11.32	44.14	13.01	3.75
PLN	15.79	2.16	1.44	1.69
PLXNA2	9.15	71.61	1.99	12.31
PM20D2	3.79	3.36	2.29	14.06
PODN	146.87	6.3	1	1.68
PODXL	2.08	462.42	2.08	14.24
POLD2	16.57	19.64	8.95	54
